COUNTRY,CAPITAL
AFGHANISTAN,KABUL
BELGIUM ,BRUSSELS
BRAZIL ,BRASILIA
CHILE ,SANTIAGO
DENMARK ,COPENHAGEN
ETHIOPIA ,ADDISABABA
FINLAND,HELSINKI
GERMANY ,BERLIN
HUNGARY,BUDAPEST
ICELAND ,REYKJAVIK
INDIA,NEWDELHI
ISRAEL ,JERUSALEM
JAMAICA ,KINGSTON
NETHERLANDS,AMSTERDAM
NEWZEALAND ,WELLINGTON
NEPAL ,KATHMANDU
PAKISTAN,ISLAMABAD
ROMANIA ,BUCHAREST
SLOVAKIA,BRATISLAVA
SLOVENIA ,LJUBLJANA
SWEDEN ,STOCKHOLM
TAJIKISTAN ,DUSHANBE
THAILAND,BANGKOK
UK ,LONDON
USA ,WASHINGTON
URUGUAY ,MONTEVIDEO
